condition,DRUG_NAME,spearman_r,p_value,n_cells,kg_active
ChEMBL_off,Avagacestat,0.10156779429416488,0.16432791996696802,189,True
ChEMBL_off,Rapamycin,0.14901254690876012,0.04293220947589917,185,True
ChEMBL_off,Dactolisib,0.23060483288187272,0.001542218759372259,186,True
ChEMBL_off,Romidepsin,-0.024904384486545993,0.7768302763654561,132,True
ChEMBL_off,PLX-4720,0.1906643231121409,0.00914079818712066,186,True
ChEMBL_off,Fludarabine,0.29547150318544446,0.0005826863757885424,132,True
ChEMBL_off,RVX-208,-0.016437379130186155,0.8315216861671761,170,True
ChEMBL_off,Rucaparib,0.029944555513145527,0.6825174086300356,189,True
ChEMBL_off,BMS-754807,0.3389662098508683,1.8321334079632244e-06,189,True
ChEMBL_off,Fulvestrant,0.031634649747882014,0.5734785844483397,319,True
ChEMBL_off,MK-2206,0.25550000656090494,0.0003739451591319108,190,True
ChEMBL_off,Entospletinib,-0.13419922936474496,0.08103094761262938,170,True
ChEMBL_off,Temsirolimus,0.13802277848081732,0.0646424937663984,180,True
ChEMBL_off,Erlotinib,0.23239084586961306,0.00145693649775605,185,True
ChEMBL_off,glutathione,0.06073649622394683,0.46184067244308924,149,True
ChEMBL_off,OSI-027,0.04118604243760689,0.5746704236430985,188,True
ChEMBL_off,Bortezomib,0.2910704045428903,5.565136980033958e-05,186,True
ChEMBL_off,CCT-018159,-0.10274841437632136,0.5068855298425629,44,True
ChEMBL_off,Vinorelbine,0.5765014185620588,5.928630916417178e-18,187,True
ChEMBL_off,Docetaxel,0.6141193337934943,3.8164108688252656e-34,316,True
ChEMBL_off,Cisplatin,0.4900111116049603,1.9618086448507093e-10,150,True
ChEMBL_off,AZD2014,0.24437620509890737,0.004585534373096021,133,True
ChEMBL_off,Alpelisib,0.2577967041815298,0.00036792908624562503,187,True
ChEMBL_off,Savolitinib,0.01459935008322105,0.8432196374435585,186,True
ChEMBL_off,Ipatasertib,0.18214360643203148,0.01283873139463721,186,True
ChEMBL_off,Taselisib,0.24445333191133864,0.0006990233142723762,189,True
ChEMBL_off,Camptothecin,0.6176078494107609,2.919526602227896e-21,189,True
ChEMBL_off,Talazoparib,0.43256699897653617,7.800183090198893e-10,185,True
ChEMBL_off,Crizotinib,0.47265504185996904,6.5546630469172736e-12,189,True
ChEMBL_off,Motesanib,0.009689120713629316,0.8947289546969697,189,True
ChEMBL_off,Cytarabine,0.4957093371122657,2.3056294267019384e-10,145,True
ChEMBL_off,Axitinib,0.5047387973479799,1.3047041513782367e-13,189,True
ChEMBL_off,Tozasertib,0.4051948051948052,0.0019492349848501652,56,True
ChEMBL_off,Irinotecan,0.5586785534704305,9.670531765895673e-17,187,True
ChEMBL_off,Acetalax,0.43946481096204887,6.825653663939601e-14,264,True
ChEMBL_off,Luminespib,0.41858041026356263,2.4971757586568667e-09,187,True
ChEMBL_off,Leflunomide,0.17000262577781036,0.026666293667087723,170,True
ChEMBL_off,Temozolomide,0.045841554240210455,0.5310750749244255,189,True
ChEMBL_off,Staurosporine,0.5423375191906469,6.379915233413073e-16,190,True
ChEMBL_off,AZD6738,0.40652993859824976,8.53405131336589e-09,186,True
ChEMBL_off,Cyclophosphamide,0.1100653180349575,0.1347790553138686,186,True
ChEMBL_off,Teniposide,0.661043657025979,6.366106777791356e-18,132,True
ChEMBL_off,Dacarbazine,-0.004075073179131033,0.9630122305866761,132,True
ChEMBL_off,Mycophenolic acid,0.4920445599118249,3.2697530941985257e-10,145,True
ChEMBL_off,Ruxolitinib,0.03737730098159215,0.6274236073540462,171,True
ChEMBL_off,Osimertinib,0.2141806805943428,0.0033302578266291957,186,True
ChEMBL_off,AZD5438,0.21158221197498497,0.014493353622552385,133,True
ChEMBL_off,AT13148,0.10739510687623255,0.14346918892368057,187,True
ChEMBL_off,Oxaliplatin,0.39507687652656354,1.9524235868214524e-13,321,True
ChEMBL_off,Daporinad,0.5937031484257872,2.155943835430503e-12,116,True
ChEMBL_off,AZD5363,0.22326086652462362,0.002190538939790062,186,True
ChEMBL_off,MK-8776,0.28400244301572575,8.552566812952097e-05,186,True
ChEMBL_off,Topotecan,0.6198285442962019,2.2955814923982857e-15,132,True
ChEMBL_off,Lapatinib,0.3335519650189303,2.729648185987987e-06,189,True
ChEMBL_off,LGK974,0.22964923162751097,0.0015684331451608674,187,True
ChEMBL_off,Afatinib,0.40500842503345635,8.160364922076917e-09,188,True
ChEMBL_off,Tamoxifen,0.11004853395745236,0.1348389015595616,186,True
ChEMBL_off,Dabrafenib,0.19237926451041204,0.008889877209275369,184,True
ChEMBL_off,Cediranib,0.2285982031712582,0.0016992604562576538,186,True
ChEMBL_off,PRIMA-1MET,0.392079921348795,1.239009572795431e-07,170,True
ChEMBL_off,BI-2536,0.6435105515804728,1.1629395882168753e-22,182,True
